""	"AqFl1-002"	"AqFl1-003"	"AqFl1-005"	"AqFl1-007"	"AqFl1-009"	"AqFl1-011"	"AqFl1-013"	"AqFl1-014"	"AqFl1-019"	"AqFl1-021"	"AqFl1-022"	"AqFl1-024"	"AqFl1-025"	"AqFl1-028"	"AqFl1-029"	"AqFl1-030"	"AqFl1-034"	"AqFl1-035"	"AqFl1-038"	"AqFl1-039"	"AqFl1-043"	"AqFl1-045"	"AqFl1-046"	"AqFl1-047"	"AqFl1-049"	"AqFl1-050"	"AqFl1-055"	"AqFl1-056"	"AqFl1-057"	"AqFl1-058"	"AqFl1-059"	"AqFl1-064"	"AqFl1-069"	"AqFl1-070"	"AqFl1-071"	"AqFl1-072"	"AqFl1-073"	"AqFl1-075"	"AqFl1-076"	"AqFl1-077"	"AqFl1-084"	"AqFl1-086"	"AqFl1-088"	"AqFl1-089"	"AqFl1-092"	"AqFl1-094"	"AqFl1-095"
"AqFl1-022"	2.592088130496	2.91942679519939	3.16953665115609	3.17493639107674	2.97337948328606	3.55784349194293	1.74057793746319	4.46324280854722	3.65288556867856	3.5496989351342	0	4.33150320752565	3.09417514371785	3.26646046629948	3.2675699933444	1.88655198551307	3.36043203787165	2.96879127739535	2.98719827011542	3.53138454262161	3.43496547174107	3.08950543028391	3.47858959229918	3.25154956334998	2.87714401473406	0.644916338925652	3.50537474058144	3.7099302391815	3.32739993965586	4.66382528091286	2.66050179853968	2.18339130858168	4.03201440002345	1.10601598668211	3.61641109563076	3.11026770624195	5.14518052710731	3.33678417339415	2.05324362052787	2.59531876253437	3.55375171165264	4.89935019253307	4.00517934910901	2.9654500454777	3.95170266755715	3.44547453596149	3.39481541779469
"AqFl1-024"	2.20084135605441	2.32773000767748	1.90837417523968	1.29069793985958	1.58756642019256	2.31651795191442	3.10968412820568	0.175831308330844	1.80156446351348	1.09421805814934	4.33150320752565	0	1.60020430753012	2.26826650890135	1.24899071061863	3.07181533379281	1.80246859011303	1.73007648406604	1.56774580519037	2.02260419102494	2.09930019243084	1.55759500442871	2.28188758070801	1.34635744059861	1.76999579556466	4.42790461924082	0.903682707234515	2.16161099178363	2.19520207904887	0.459267848351604	1.90227420387495	2.638495946784	0.344764408545182	3.31838987654674	1.59275847711885	1.48858022079203	0.91135540033746	1.80144531976072	2.72363433697145	2.0444746136216	2.16655299925841	2.10334119837235	0.500577722698152	1.54981138762047	2.0129326883387	1.01747276309741	2.13463940591861
"AqFl1-025"	0.625543796053498	2.35973685864804	2.03120693779823	0.395074620735125	0.198242536396499	2.74811444434792	2.4292932648035	1.67177331926828	2.29388304924435	0.531751621573253	3.09417514371785	1.60020430753012	0	2.52708348911821	0.375654023389557	2.49844637100123	2.14847627232897	0.17956685272242	0.296901914983885	2.36940873448875	2.48645995355659	0.261718900187325	2.67371994762151	0.257110043997491	0.255486806336446	3.32331278274153	0.732120869474686	2.71023008070972	2.49398224290585	2.04217634230261	0.581153351919728	2.17952410013524	1.29361265426049	2.27653885395936	2.04937695447931	0.279912373392131	2.51061558045542	2.07080585526061	2.18175593513532	0.537385423450859	2.62025761002278	3.28636043545746	1.13862491694747	0.262776723775446	2.73315709403895	0.600212773195874	2.49349503404019
"AqFl1-028"	2.73068537781542	0.391611470900959	0.788188945879179	2.18717756054879	2.3541405927679	0.310813287435538	1.685720478291	2.41534568745641	0.870304115126016	2.45927438916709	3.26646046629948	2.26826650890135	2.52708348911821	0	2.27303967460309	1.45074647726877	0.497076088541032	2.54924707323418	2.33738333998665	0.9094370938569	0.40313776575745	2.46131600183619	0.366468715587804	2.39632838174437	2.49021659341724	3.17324020851335	2.11587493494612	0.465726772622625	0.140078757240034	2.3118882026726	2.29747330897949	1.09786168043786	2.17993645005231	2.21793400974952	1.07533752582757	2.39470255242295	2.63270632692886	0.762626971806666	1.28429661399039	2.52363051797626	0.434042886533957	1.6799045528458	2.35435026783628	2.28050946265319	0.728358373115999	2.20147683825287	0.283645027213009
"AqFl1-029"	0.960709839336421	2.14705739901667	1.77984988405445	0.114550914321218	0.351432875605847	2.47095849346	2.41026476745113	1.3324790721237	1.99127487398095	0.29705421791661	3.2675699933444	1.24899071061863	0.375654023389557	2.27303967460309	0	2.44450060612539	1.86278330122829	0.50727461167891	0.390604765111113	2.09402359259164	2.21344083822985	0.404897775373272	2.40458965055397	0.147375065605779	0.542396965195546	3.45684595212977	0.36060576027121	2.41424481646316	2.23047621443544	1.68653456443571	0.722836450580875	2.07955832440438	0.943646085514644	2.36294179039986	1.74385973820923	0.33912429858517	2.15987696015731	1.79401410723981	2.10932544275559	0.81771202379923	2.33981711879608	2.92415676243018	0.816489907804649	0.326884500671429	2.41356429463746	0.232451503658159	2.22355379843993
"AqFl1-030"	2.34709026024325	1.09259585902237	1.64455474833953	2.33191401644107	2.30912112386372	1.71572036379233	0.347516151497524	3.2296539059794	2.06007532486885	2.71794075990525	1.88655198551307	3.07181533379281	2.49844637100123	1.45074647726877	2.44450060612539	0	1.66978216324104	2.42887644305438	2.28870115870525	1.98708380118914	1.60501830788906	2.42604846714989	1.6197027262348	2.50429046151066	2.33442372376496	1.72447445587683	2.49555302981029	1.87545134399469	1.54114163611965	3.27511740195935	2.12582943018311	0.457792325007851	2.8375986232953	1.0041760214992	2.12183956461721	2.39770416848732	3.70783269017292	1.77323660072349	0.362455130432795	2.19281537643791	1.70822345717962	3.09855664338163	2.91541003522053	2.25618985306842	2.13458926877261	2.50993790718356	1.56540796533124
"AqFl1-034"	2.43380670037579	0.669911627748977	0.484860705730737	1.7886008140819	1.99110785052043	0.643191905566786	1.86480078347437	1.9435103607636	0.528364972078497	2.02782187600561	3.36043203787165	1.80246859011303	2.14847627232897	0.497076088541032	1.86278330122829	1.66978216324104	0	2.1953187475286	1.98403404202371	0.667395898085582	0.574616324508088	2.09951750190922	0.68796690945426	1.99577099771548	2.14905828540375	3.34126563140831	1.67649011938931	0.62651703144542	0.40658991338984	1.87791742865014	1.96409151874871	1.23911399604173	1.72408843910368	2.26901517540971	0.645252252964471	2.02717105845301	2.21967254447113	0.384163118727332	1.42423784249675	2.22670557440876	0.647216223983925	1.57293553879757	1.89797434491953	1.91716765346175	0.727648873507485	1.76895006324277	0.512240734313539
"AqFl1-035"	0.479780374633539	2.3566782641788	2.08789098057422	0.496008674460484	0.209125541326158	2.77815813946366	2.33796134120036	1.81062598627692	2.37457615165651	0.674503748446973	2.96879127739535	1.73007648406604	0.17956685272242	2.54924707323418	0.50727461167891	2.42887644305438	2.1953187475286	0	0.254643556913406	2.44565141050429	2.50517387383911	0.228253268330739	2.69142927594033	0.390828756059061	0.100537144075809	3.1904982900811	0.85428469704656	2.74790874992656	2.52551742226918	2.16265847694672	0.584933895650426	2.1337119367389	1.41097211774346	2.18328002314228	2.14202491798932	0.282994955307652	2.63856259727194	2.13567142500167	2.1169165264652	0.382433398562376	2.64307443151817	3.37055315082013	1.2633778268379	0.280943778992809	2.78405354060083	0.731108286334796	2.51456939680934
"AqFl1-038"	0.657958159819988	2.14909101117587	1.91530485130882	0.337573257823297	0.152978912375014	2.55728533084175	2.20538674016375	1.66644218034201	2.19006763875642	0.598972470852807	2.98719827011542	1.56774580519037	0.296901914983885	2.33738333998665	0.390604765111113	2.28870115870525	1.98403404202371	0.254643556913406	0	2.27777875174711	2.2729256665498	0.143380516299872	2.4625027480285	0.319595747645948	0.236288337997275	3.16466727320191	0.687714537859971	2.52003885384793	2.31646555581999	1.98341192629302	0.639821431758952	1.97401342599726	1.23694339588039	2.14688066658577	1.96875896790818	0.125488946774196	2.46967450398787	1.95252271053364	1.96072246396427	0.486268347524588	2.41028968411953	3.14270711301809	1.11790482586741	0.1549661024045	2.55219844731026	0.58688357926071	2.28778658726224
"AqFl1-039"	2.66871082510663	1.14786450358592	0.435255716176142	2.03782630925567	2.24149989004057	1.01091516726257	2.24018500817076	2.12360428926527	0.278310336717213	2.25572699247082	3.53138454262161	2.02260419102494	2.36940873448875	0.9094370938569	2.09402359259164	1.98708380118914	0.667395898085582	2.44565141050429	2.27777875174711	0	1.16061048456047	2.39179973169575	1.1901751042826	2.23420566028022	2.40881956512813	3.59637323016022	1.92813767273866	1.03990977633647	0.775776912213099	2.11311938633391	2.1024267197539	1.57677606843475	2.00233349600704	2.43765749852545	0.434941930807073	2.32046563099592	2.39131286796715	0.375709245475238	1.80688369728294	2.48876229471272	1.18006260162346	1.72477466372021	2.15688146381605	2.17379751949292	1.10192533233073	2.00596742882509	1.06542180528191
