""	"AqFl1-001"	"AqFl1-004"	"AqFl1-006"	"AqFl1-008"	"AqFl1-010"	"AqFl1-012"	"AqFl1-015"	"AqFl1-016"	"AqFl1-017"	"AqFl1-018"	"AqFl1-020"	"AqFl1-023"	"AqFl1-026"	"AqFl1-027"	"AqFl1-031"	"AqFl1-032"	"AqFl1-033"	"AqFl1-036"	"AqFl1-037"	"AqFl1-040"	"AqFl1-041"	"AqFl1-042"	"AqFl1-044"	"AqFl1-048"	"AqFl1-051"	"AqFl1-052"	"AqFl1-053"	"AqFl1-054"	"AqFl1-060"	"AqFl1-061"	"AqFl1-062"	"AqFl1-063"	"AqFl1-065"	"AqFl1-066"	"AqFl1-067"	"AqFl1-068"	"AqFl1-074"	"AqFl1-078"	"AqFl1-079"	"AqFl1-080"	"AqFl1-081"	"AqFl1-082"	"AqFl1-083"	"AqFl1-087"	"AqFl1-090"	"AqFl1-091"	"AqFl1-093"	"AqFl1-096"	"AqFl1-115"	"AqFl1-116"	"AqFl1-117"	"AqFl1-118"	"AqFl1-119"	"AqFl1-120"	"AqFl1-121"	"AqFl1-122"
"AqFl1-020"	0.990859533152724	0.327344346239582	1.48368184235793	2.70500124870167	1.54765416229688	0.277556892946356	0.61887159742202	2.18599227901096	1.03240463725498	1.70420688004714	0	1.79836556934787	1.76353017053893	0.452996171469103	0.799519512326711	2.74045050938076	0.936350886631456	1.72797842402675	1.72547437728201	1.21182104785818	2.13481502205223	0.241753639800295	0.837488346341387	1.79709777170304	1.50950785283458	0.470342191105988	0.386909112370901	1.26538981987419	1.7321788447083	0.108375327743648	2.61890150394409	0.599244429687574	0.85255161721731	2.64548208459398	1.74647251016032	0.693811134365768	0.373439279745267	0.379463269103782	2.20795073970459	2.0068536787578	2.34581359287154	1.60133816084258	0.821499929994729	0.76525950306411	1.87455197081411	0.238021039426165	2.58596130847419	0.321387087290989	1.74889435888772	1.93510592051863	4.06684017485063	2.55414394071263	3.0349074723884	4.82798764293846	3.51630761567357	3.48637816885817
"AqFl1-023"	1.15532958824115	1.77763183176664	0.454575312963336	1.40934177326034	0.343506995855357	1.76805251234857	1.32947339205275	0.478275117914749	1.23909698755594	0.314735021636657	1.79836556934787	0	0.412645007027882	1.43057772421154	2.30577344804331	1.30618063882216	1.49662257949145	0.3593218023174	0.325958920424058	0.59158636956217	0.51266305628946	1.69015602513068	1.56687086391037	0.324577120484841	0.297616113389014	1.6102718796778	2.11595260825669	0.744432875604938	0.126222716177889	1.69398240324314	1.25089551680947	1.22948047691867	1.51906392779276	1.47776217832732	0.323252996075882	1.52943966391953	1.45001588771577	1.58144673818175	0.780003024913763	0.579141778245411	0.603690729533932	0.210003999303975	2.43703921842162	1.33971615321387	0.126925783766661	1.56820672938627	0.930117992865363	1.9762938263859	0.430858116958623	0.841236485912937	3.54182524558269	1.792318584064	2.36465887879244	4.34834578277311	2.93541849592474	2.88641346990089
"AqFl1-026"	1.31311709947544	1.80722992666217	0.415247560274313	1.69856409372469	0.374337836445757	1.76331031503387	1.38535688715236	0.758982166036258	1.41234074941183	0.647017553356164	1.76353017053893	0.412645007027882	0	1.46930054738197	2.20747195317968	1.58535265303787	1.6501731768254	0.248157465742854	0.0977522798848746	0.688660254631792	0.836499289778964	1.70792723912031	1.69885151191356	0.683598062545373	0.416861410447951	1.6539184279023	2.05174419703275	0.604346036324448	0.486660202822232	1.65528455831052	1.52649283031654	1.23809148927465	1.65365607842982	1.7509231318314	0.717330737964306	1.62801733318928	1.42975936748926	1.47739518317407	1.10142662836159	0.903715466462576	0.840367447824575	0.48287258400635	2.35351928588014	1.44663702685835	0.528782061169744	1.52559016972426	1.24101232901665	1.91646998011166	0.413696038524252	1.13132241067507	3.8657932626273	2.11134576665454	2.6920443813577	4.67079413579003	3.26575522001012	3.21203920258259
"AqFl1-027"	0.545679641652453	0.3500647360932	1.18508840011902	2.26821156256811	1.22600817735575	0.377492330469065	0.199636782856234	1.7868056131209	0.597473168317072	1.29621839905403	0.452996171469103	1.43057772421154	1.46930054738197	0	1.18731065980614	2.30685464292443	0.563959607685428	1.42725385419629	1.41335491683128	0.841199522544954	1.72145815619899	0.270752029441827	0.499841023613156	1.38568694384337	1.15964720912247	0.252444720525316	0.825098479382102	1.03805478325644	1.35940321479193	0.383577350341953	2.18683162214679	0.248125019428782	0.494044595023088	2.21457990023493	1.33952489401448	0.353282184553701	0.208123549492591	0.527981422258183	1.77595052149419	1.58198479421159	1.95130822663204	1.2281814770529	1.23371082696191	0.343450004262626	1.4938632296413	0.32536903469009	2.16115209198262	0.724942794334218	1.45217212551355	1.58513938283505	3.80388463606238	2.23347551556217	2.73117642579202	4.5820814587983	3.23141549712836	3.20236908391512
"AqFl1-031"	1.72670172295193	1.08173850093191	1.8986666114277	3.40759530446512	1.99193473953824	1.06526665711311	1.37534471028945	2.75330266432302	1.77828060933509	2.29619864102018	0.799519512326711	2.30577344804331	2.20747195317968	1.18731065980614	0	3.41460897964761	1.69562793964025	2.13431738869668	2.19126245310066	1.76984534870399	2.72791851466328	0.991076273286894	1.59850555036444	2.38797730804048	2.01041992543002	1.26019486522838	0.46275898266012	1.62561834210333	2.23295614765096	0.849847408311589	3.3057134117977	1.29512997786873	1.61604416752704	3.37196483462381	2.28984403075903	1.46579409987354	1.1030522820058	0.911629420238139	2.85652158807785	2.64106259836834	2.89988214874267	2.12015564470384	0.195688661000183	1.52544948111065	2.38470950616442	0.923450768432261	3.17360470689029	0.480031050827851	2.11700556647676	2.29747897678381	4.20733867721479	2.82266189495431	3.26404270154948	4.92921503208669	3.70800455727736	3.6714697669748
"AqFl1-032"	1.80392401313682	2.59000852352264	1.74729838568115	0.23315643926086	1.63690619325624	2.5961344840283	2.13588662567386	0.86303409055714	1.8135908971773	1.16093910529663	2.74045050938076	1.30618063882216	1.58535265303787	2.30685464292443	3.41460897964761	0	2.0426657672515	1.64488962346901	1.52639883183839	1.67213293906637	0.795451248025261	2.57143261000837	2.15444787061348	1.07982080677029	1.53339049205023	2.37696458818075	3.11561558946725	2.01160616354564	1.36043045309504	2.65047591580135	0.148811922474387	2.151391836831	2.10761665367477	0.422070696030298	1.24642983110863	2.20372044310458	2.37656854093402	2.59846260847037	0.570171246692341	0.79134763419506	0.837110360682362	1.41370543478687	3.50572364029451	2.0435155899622	1.23834265907888	2.54316395412468	0.564676225076766	2.99999341541977	1.71642185218722	1.73815989304951	3.8038025285921	2.30648003195028	2.73635884287155	4.56280380105953	3.2253091023353	3.19829282835743
"AqFl1-033"	0.342790571127897	0.654327721578404	1.41595972980694	1.95463212024438	1.41306770123977	0.72809481398738	0.448749906919784	1.72626647279987	0.264241538277242	1.26008086200058	0.936350886631456	1.49662257949145	1.6501731768254	0.563959607685428	1.69562793964025	2.0426657672515	0	1.62325576058609	1.57338645119816	0.997902662921681	1.62126357074046	0.710146562810207	0.119257895296816	1.32963154348205	1.29874234903662	0.481940454513211	1.29409264487775	1.37927267404901	1.42916635522084	0.901308357656893	1.91427726806364	0.655076398665221	0.0865581575364433	1.87319328085846	1.32313014833876	0.245526454935634	0.72881378027986	1.05677205827636	1.57785846633025	1.43444630669252	1.89391971689715	1.31052000835624	1.70661865671103	0.267652056001798	1.5284035752329	0.872303487184375	2.00674557609471	1.2261801460906	1.65955666856115	1.65332588524644	3.71418540946576	2.20177304196035	2.66075744600323	4.48577697060822	3.1388124136405	3.12157876992585
"AqFl1-036"	1.28660130350923	1.77302885378876	0.257063544817989	1.75778320839653	0.218467595031654	1.74849751680643	1.36414492790059	0.792042812435978	1.3862380437806	0.6340050899525	1.72797842402675	0.3593218023174	0.248157465742854	1.42725385419629	2.13431738869668	1.64488962346901	1.62325576058609	0	0.226146715916643	0.628065836711403	0.857477339869452	1.66284973481401	1.67145285655264	0.670584245386035	0.334734509561104	1.63404638275569	2.00361632827757	0.51118626851832	0.376845212447512	1.62163419848675	1.59318511273828	1.21591328260449	1.62752450308959	1.82348203196547	0.616573451479818	1.60282624443715	1.40859088592095	1.46885004961142	1.13435266992149	0.93243203241821	0.880299445283293	0.393987224065518	2.28426399471849	1.4216179583872	0.452449459262649	1.49368593780634	1.24504289457528	1.85998925520591	0.167631510585358	0.90717695462006	3.64013941605304	1.88785427270853	2.46992583498625	4.4440075740369	3.04346628741791	2.98806500665723
"AqFl1-037"	1.23404600396329	1.75453349610016	0.369447084256787	1.63291039162415	0.308796621216682	1.71709787409916	1.32444617101582	0.700652501770655	1.33153021102463	0.552055200739507	1.72547437728201	0.325958920424058	0.0977522798848746	1.41335491683128	2.19126245310066	1.52639883183839	1.57338645119816	0.226146715916643	0	0.612881098556039	0.766010316121002	1.65798541121439	1.62578752654774	0.591629088719035	0.329785648999124	1.59698822922109	2.02314424472785	0.58894193673327	0.39705685388734	1.61752595250716	1.46443775944906	1.18590247749579	1.57995319810177	1.6839631937615	0.62341671814491	1.56047416170643	1.38553831094679	1.45374257347406	1.02662669743882	0.822958261027177	0.796840018695252	0.38763380522667	2.3330748690577	1.37665811091533	0.447278006020314	1.48796063174414	1.18456959788238	1.8870054705927	0.391087794888293	1.0659091696823	3.79964642657736	2.04381091050523	2.62401358860831	4.60580374246003	3.19732965971128	3.14513020263212
"AqFl1-040"	0.666907124837937	1.18977118351605	0.423590590978474	1.70320918569346	0.418516437518181	1.18324220584416	0.756019595903688	0.99231647216835	0.771011698652064	0.527328384852859	1.21182104785818	0.59158636956217	0.688660254631792	0.841199522544954	1.76984534870399	1.67213293906637	0.997902662921681	0.628065836711403	0.612881098556039	0	0.958435575852367	1.09871410307146	1.04361851688205	0.619821232143759	0.32236109453122	1.03329015517859	1.5405564188764	0.485171669333591	0.525767731261432	1.10924753565095	1.57790499180697	0.644783371561309	0.999991794692573	1.71030407476097	0.567147451019406	0.978912822060049	0.865234497592276	1.02839247159	1.10626417984188	0.883383734561331	1.14799796732309	0.391531276051274	1.8843175876553	0.795835054753744	0.663665988411201	0.986157218286355	1.41210250938458	1.40466115398383	0.672208510168423	0.972434374069603	3.58592687142718	1.85771846599133	2.42430628622304	4.39231481615782	2.98199135850767	2.9397928495897
